epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.2,1.74069,3.10133,1.91199,0.40063,0.39642,0.37979,0.19828,1.81734,1.93532,1.83408,0.00332026,0.00332026,0.00332026
2,620.176,1.48614,1.49102,1.66657,0.52432,0.35464,0.38902,0.21182,1.75957,2.2391,2.05382,0.00658772,0.00658772,0.00658772
3,926.721,1.55081,1.62449,1.74043,0.59547,0.17891,0.2323,0.10049,2.10717,3.07955,2.25166,0.00978919,0.00978919,0.00978919
4,1231.93,1.60915,1.74258,1.79954,0.41041,0.39714,0.31926,0.14627,1.859,2.08937,1.97564,0.009703,0.009703,0.009703
5,1536.99,1.52235,1.58869,1.75944,0.53428,0.35062,0.39134,0.20959,1.74961,1.91564,1.92794,0.009604,0.009604,0.009604
6,1841.64,1.47578,1.47919,1.6964,0.64052,0.54962,0.55651,0.31204,1.64137,1.54466,1.84349,0.009505,0.009505,0.009505
7,2145.75,1.41249,1.36528,1.65421,0.64814,0.49952,0.591,0.33187,1.60792,1.49474,1.77111,0.009406,0.009406,0.009406
8,2449.36,1.4033,1.31139,1.63238,0.55478,0.5395,0.55919,0.33612,1.52531,1.40957,1.75539,0.009307,0.009307,0.009307
9,2754.55,1.38123,1.2564,1.62931,0.67255,0.61417,0.65901,0.38023,1.61464,1.29594,1.82489,0.009208,0.009208,0.009208
10,3059.3,1.35065,1.19835,1.58349,0.72944,0.57338,0.64578,0.3854,1.44056,1.24568,1.64352,0.009109,0.009109,0.009109
11,3364.47,1.31567,1.16765,1.56886,0.7268,0.59671,0.67321,0.42495,1.45213,1.19508,1.69152,0.00901,0.00901,0.00901
12,3669.45,1.30047,1.12698,1.55189,0.73674,0.65521,0.70044,0.43019,1.42779,1.12606,1.65996,0.008911,0.008911,0.008911
13,3974.03,1.30273,1.09215,1.5353,0.75591,0.55672,0.6728,0.42556,1.36885,1.14996,1.61493,0.008812,0.008812,0.008812
14,4277.6,1.27243,1.06903,1.53535,0.71237,0.63456,0.69676,0.42655,1.40959,1.11014,1.65207,0.008713,0.008713,0.008713
15,4582.18,1.25494,1.04025,1.51193,0.75381,0.61335,0.68201,0.43523,1.36074,1.10361,1.5977,0.008614,0.008614,0.008614
16,4887.06,1.23491,1.00529,1.49405,0.68572,0.61789,0.68251,0.45154,1.30652,1.09803,1.53448,0.008515,0.008515,0.008515
17,5192.7,1.22219,0.97907,1.47408,0.69455,0.655,0.66282,0.42529,1.32254,1.06553,1.56003,0.008416,0.008416,0.008416
